,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'inform'}),frozenset({'current'}),0.11282051282051282,0.09504273504273504,0.09264957264957265,0.8212121212121212,8.640451275343361,0.08192680254218715,5.061625380269446
1,frozenset({'current'}),frozenset({'inform'}),0.09504273504273504,0.11282051282051282,0.09264957264957265,0.974820143884892,8.640451275343361,0.08192680254218715,35.23369963369954
2,frozenset({'unavail'}),frozenset({'current'}),0.09264957264957265,0.09504273504273504,0.09230769230769231,0.996309963099631,10.482757705274896,0.08350202352253636,245.24341880342212
3,frozenset({'current'}),frozenset({'unavail'}),0.09504273504273504,0.09264957264957265,0.09230769230769231,0.9712230215827339,10.482757705274896,0.08350202352253636,31.530427350427427
4,frozenset({'learn'}),frozenset({'develop'}),0.10803418803418803,0.5688888888888889,0.09196581196581197,0.8512658227848101,1.496365704113924,0.03050636277302944,2.8985342789598105
5,frozenset({'skill'}),frozenset({'develop'}),0.24136752136752138,0.5688888888888889,0.20376068376068376,0.8441926345609065,1.4839323654390935,0.06644938271604939,2.7669494949494955
6,frozenset({'essay'}),frozenset({'student'}),0.07213675213675214,0.6273504273504273,0.06290598290598291,0.8720379146919433,1.3900331882691739,0.01765096062531961,2.912187401076293
7,frozenset({'unavail'}),frozenset({'inform'}),0.09264957264957265,0.11282051282051282,0.09264957264957265,1.0,8.863636363636363,0.0821968003506465,inf
8,frozenset({'inform'}),frozenset({'unavail'}),0.11282051282051282,0.09264957264957265,0.09264957264957265,0.8212121212121212,8.863636363636363,0.0821968003506465,5.0750108648413725
9,frozenset({'learn'}),frozenset({'student'}),0.10803418803418803,0.6273504273504273,0.0947008547008547,0.8765822784810127,1.3972769289138758,0.026925560669150403,3.019417050186281
10,frozenset({'practic'}),frozenset({'student'}),0.37777777777777777,0.6273504273504273,0.3029059829059829,0.8018099547511313,1.2780894374098415,0.06590693257359925,1.8802638254693054
11,frozenset({'profession'}),frozenset({'student'}),0.10564102564102563,0.6273504273504273,0.08581196581196582,0.8122977346278318,1.2948070156874159,0.019538023230330936,1.9853227232537591
12,frozenset({'project'}),frozenset({'student'}),0.09538461538461539,0.6273504273504273,0.0823931623931624,0.8637992831541219,1.376900764700712,0.022553583168967786,2.736032388663969
13,frozenset({'seminar'}),frozenset({'student'}),0.07692307692307693,0.6273504273504273,0.06700854700854701,0.8711111111111111,1.3885558583106266,0.018750821827744908,2.8912466843501314
14,frozenset({'skill'}),frozenset({'student'}),0.24136752136752138,0.6273504273504273,0.19521367521367522,0.8087818696883853,1.2892027078139112,0.043791657535247275,1.9488192465970244
15,frozenset({'studi'}),frozenset({'student'}),0.16512820512820514,0.6273504273504273,0.13982905982905983,0.8467908902691511,1.349789293753279,0.03623580977427131,2.4322938322938317
16,frozenset({'subject'}),frozenset({'student'}),0.14017094017094017,0.6273504273504273,0.11931623931623932,0.8512195121951219,1.356848541237456,0.03137994009788882,2.5046938489561437
17,frozenset({'taught'}),frozenset({'student'}),0.05333333333333334,0.6273504273504273,0.0505982905982906,0.9487179487179487,1.5122615803814714,0.01713960113960114,7.266666666666661
